"LOCATION","Country","INDICATOR","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","GDPG","Gross domestic product (GDP), volume, annual growth rates, percentage","2008","2008",,,"0","Units",,,0.254945946556523,,
"FRA","France","GDPG","Gross domestic product (GDP), volume, annual growth rates, percentage","2009","2009",,,"0","Units",,,-2.87331385188506,,
"FRA","France","GDPG","Gross domestic product (GDP), volume, annual growth rates, percentage","2010","2010",,,"0","Units",,,1.94943763374247,,
"FRA","France","GDPG","Gross domestic product (GDP), volume, annual growth rates, percentage","2011","2011",,,"0","Units",,,2.19270064934656,,
"FRA","France","GDPG","Gross domestic product (GDP), volume, annual growth rates, percentage","2012","2012",,,"0","Units",,,0.313134744595476,,
"FRA","France","GDPG","Gross domestic product (GDP), volume, annual growth rates, percentage","2013","2013",,,"0","Units",,,0.576326680212847,,
"FRA","France","GDPG","Gross domestic product (GDP), volume, annual growth rates, percentage","2014","2014",,,"0","Units",,,0.956183044645356,,
"FRA","France","GDPG","Gross domestic product (GDP), volume, annual growth rates, percentage","2015","2015",,,"0","Units",,,1.11291234158152,,
"FRA","France","GDPG","Gross domestic product (GDP), volume, annual growth rates, percentage","2016","2016",,,"0","Units",,,1.09546439464689,,
"FRA","France","GDPG","Gross domestic product (GDP), volume, annual growth rates, percentage","2017","2017",,,"0","Units",,,2.29141998505576,,
"FRA","France","GDPG","Gross domestic product (GDP), volume, annual growth rates, percentage","2018","2018",,,"0","Units",,,1.86506608964275,,
"FRA","France","GDPG","Gross domestic product (GDP), volume, annual growth rates, percentage","2019","2019",,,"0","Units",,,1.84297181388605,,
"FRA","France","GDPG","Gross domestic product (GDP), volume, annual growth rates, percentage","2020","2020",,,"0","Units",,,-7.78458648873489,,
"FRA","France","GDPG","Gross domestic product (GDP), volume, annual growth rates, percentage","2021","2021",,,"0","Units",,,6.81658912457654,"E","Estimated value"
"FRA","France","GDPG","Gross domestic product (GDP), volume, annual growth rates, percentage","2022","2022",,,"0","Units",,,2.5623935582961,"E","Estimated value"
"FRA","France","B9S13S","Net lending/net borrowing, General government, percentage of GDP","2008","2008",,,"0","Units",,,-3.26373482970116,,
"FRA","France","B9S13S","Net lending/net borrowing, General government, percentage of GDP","2009","2009",,,"0","Units",,,-7.17477905126052,,
"FRA","France","B9S13S","Net lending/net borrowing, General government, percentage of GDP","2010","2010",,,"0","Units",,,-6.88672167290052,,
"FRA","France","B9S13S","Net lending/net borrowing, General government, percentage of GDP","2011","2011",,,"0","Units",,,-5.15476088106651,,
"FRA","France","B9S13S","Net lending/net borrowing, General government, percentage of GDP","2012","2012",,,"0","Units",,,-4.98098433361866,,
"FRA","France","B9S13S","Net lending/net borrowing, General government, percentage of GDP","2013","2013",,,"0","Units",,,-4.08409452344595,,
"FRA","France","B9S13S","Net lending/net borrowing, General government, percentage of GDP","2014","2014",,,"0","Units",,,-3.90465934648671,,
"FRA","France","B9S13S","Net lending/net borrowing, General government, percentage of GDP","2015","2015",,,"0","Units",,,-3.62517466994658,,
"FRA","France","B9S13S","Net lending/net borrowing, General government, percentage of GDP","2016","2016",,,"0","Units",,,-3.63725639835479,,
